,Hütten-Name,Hütte-ID,Hüttenwart(e),Hüttentelefonnummer,Schlafplätze total,Höhe ü. Meer,Koordinaten
0,"Blüemlisalphütte SAC, SAC Sektion Blümlisalp",1, Hildi und Hans Hostettler, +41 (0) 33 676 14 37, 117, 2840 m, 625.565 / 151.040
1,"Glecksteinhütte SAC, SAC Burgdorf",2, Sarah & Christoph Sager, +41 (0) 33 853 11 40, 88, 2317 m, 650.400 / 163.979
