,Hütten-Name,Datum,Freie Betten,Hütten-ID
83,"Monte Rosa Hütte SAC, SAC Monte Rosa",02.06.2022,0,6
84,"Capanna Basòdino (Robiei) CAS, CAS Locarno",20.05.2022,29,8
85,"Capanna Basòdino (Robiei) CAS, CAS Locarno",21.05.2022,29,8
86,"Capanna Basòdino (Robiei) CAS, CAS Locarno",22.05.2022,29,8
87,"Capanna Basòdino (Robiei) CAS, CAS Locarno",23.05.2022,29,8
88,"Capanna Basòdino (Robiei) CAS, CAS Locarno",24.05.2022,29,8
89,"Capanna Basòdino (Robiei) CAS, CAS Locarno",25.05.2022,29,8
90,"Capanna Basòdino (Robiei) CAS, CAS Locarno",26.05.2022,29,8
91,"Capanna Basòdino (Robiei) CAS, CAS Locarno",27.05.2022,29,8
92,"Capanna Basòdino (Robiei) CAS, CAS Locarno",28.05.2022,29,8
93,"Capanna Basòdino (Robiei) CAS, CAS Locarno",29.05.2022,29,8
94,"Capanna Basòdino (Robiei) CAS, CAS Locarno",30.05.2022,29,8
95,"Capanna Basòdino (Robiei) CAS, CAS Locarno",31.05.2022,29,8
96,"Capanna Basòdino (Robiei) CAS, CAS Locarno",01.06.2022,29,8
97,"Capanna Basòdino (Robiei) CAS, CAS Locarno",02.06.2022,29,8
98,"Britanniahütte SAC, CAS Genevoise",20.05.2022,76,9
99,"Britanniahütte SAC, CAS Genevoise",21.05.2022,42,9
100,"Britanniahütte SAC, CAS Genevoise",22.05.2022,85,9
101,"Britanniahütte SAC, CAS Genevoise",23.05.2022,91,9
102,"Britanniahütte SAC, CAS Genevoise",24.05.2022,87,9
103,"Britanniahütte SAC, CAS Genevoise",25.05.2022,91,9
104,"Britanniahütte SAC, CAS Genevoise",26.05.2022,59,9
105,"Britanniahütte SAC, CAS Genevoise",27.05.2022,57,9
106,"Britanniahütte SAC, CAS Genevoise",28.05.2022,71,9
107,"Britanniahütte SAC, CAS Genevoise",29.05.2022,0,9
108,"Britanniahütte SAC, CAS Genevoise",30.05.2022,0,9
109,"Britanniahütte SAC, CAS Genevoise",31.05.2022,0,9
110,"Britanniahütte SAC, CAS Genevoise",01.06.2022,0,9
111,"Britanniahütte SAC, CAS Genevoise",02.06.2022,0,9
112,"Cabane des Dix CAS, CAS Monte Rosa",20.05.2022,0,10
113,"Cabane des Dix CAS, CAS Monte Rosa",21.05.2022,0,10
114,"Cabane des Dix CAS, CAS Monte Rosa",22.05.2022,0,10
115,"Cabane des Dix CAS, CAS Monte Rosa",23.05.2022,0,10
116,"Cabane des Dix CAS, CAS Monte Rosa",24.05.2022,0,10
117,"Cabane des Dix CAS, CAS Monte Rosa",25.05.2022,0,10
118,"Cabane des Dix CAS, CAS Monte Rosa",26.05.2022,0,10
119,"Cabane des Dix CAS, CAS Monte Rosa",27.05.2022,0,10
120,"Cabane des Dix CAS, CAS Monte Rosa",28.05.2022,0,10
121,"Cabane des Dix CAS, CAS Monte Rosa",29.05.2022,0,10
122,"Cabane des Dix CAS, CAS Monte Rosa",30.05.2022,0,10
123,"Cabane des Dix CAS, CAS Monte Rosa",31.05.2022,0,10
124,"Cabane des Dix CAS, CAS Monte Rosa",01.06.2022,0,10
125,"Cabane des Dix CAS, CAS Monte Rosa",02.06.2022,0,10
126,"Doldenhornhütte SAC, SAC Emmental",20.05.2022,0,11
127,"Doldenhornhütte SAC, SAC Emmental",21.05.2022,0,11
128,"Doldenhornhütte SAC, SAC Emmental",22.05.2022,0,11
129,"Doldenhornhütte SAC, SAC Emmental",23.05.2022,0,11
130,"Doldenhornhütte SAC, SAC Emmental",24.05.2022,0,11
131,"Doldenhornhütte SAC, SAC Emmental",25.05.2022,3,11
132,"Doldenhornhütte SAC, SAC Emmental",26.05.2022,0,11
133,"Doldenhornhütte SAC, SAC Emmental",27.05.2022,0,11
134,"Doldenhornhütte SAC, SAC Emmental",28.05.2022,0,11
135,"Doldenhornhütte SAC, SAC Emmental",29.05.2022,36,11
